Date,Crime,Avg_Temp
2019-01-01,526,38.4
2019-01-02,739,37.0
2019-01-03,789,38.5
2019-01-04,768,41.2
2019-01-05,668,41.4
2019-01-06,600,46.2
2019-01-07,740,49.3
2019-01-08,763,50.2
2019-01-09,769,50.5
2019-01-10,779,50.3
2019-01-11,753,50.6
2019-01-12,692,49.6
2019-01-13,638,47.2
2019-01-14,717,47.8
2019-01-15,821,47.2
2019-01-16,790,51.9
2019-01-17,741,55.6
2019-01-18,713,53.2
2019-01-19,688,50.8
2019-01-20,678,49.7
2019-01-21,692,51.7
2019-01-22,798,46.1
2019-01-23,763,44.2
2019-01-24,742,49.1
2019-01-25,719,51.4
2019-01-26,644,55.2
2019-01-27,699,53.3
2019-01-28,804,56.7
2019-01-29,831,56.6
2019-01-30,734,53.9
2019-01-31,781,51.6
2019-02-01,791,53.8
2019-02-02,693,54.6
2019-02-03,652,54.2
2019-02-04,793,52.0
2019-02-05,745,47.0
2019-02-06,740,42.2
2019-02-07,784,40.0
2019-02-08,754,40.6
2019-02-09,653,44.8
2019-02-10,636,47.9
2019-02-11,702,41.5
2019-02-12,761,42.4
2019-02-13,777,48.1
2019-02-14,724,49.2
2019-02-15,721,50.1
2019-02-16,683,47.5
2019-02-17,654,41.2
2019-02-18,624,41.7
2019-02-19,766,41.2
2019-02-20,751,38.0
2019-02-21,691,36.2
2019-02-22,717,41.9
2019-02-23,677,41.4
2019-02-24,645,44.4
2019-02-25,737,47.7
2019-02-26,777,55.0
2019-02-27,746,58.6
2019-02-28,785,64.4
2019-03-01,752,63.1
2019-03-02,720,61.5
2019-03-03,687,60.3
2019-03-04,803,58.5
2019-03-05,776,61.5
2019-03-06,774,57.1
2019-03-07,735,59.5
2019-03-08,732,52.8
2019-03-09,662,50.2
2019-03-10,662,53.2
2019-03-11,784,54.7
2019-03-12,785,56.3
2019-03-13,756,51.5
2019-03-14,787,50.9
2019-03-15,788,54.9
2019-03-16,664,60.5
2019-03-17,634,62.1
2019-03-18,871,63.6
2019-03-19,801,64.6
2019-03-20,750,60.8
2019-03-21,730,55.2
2019-03-22,753,58.3
2019-03-23,645,62.0
2019-03-24,666,61.9
2019-03-25,887,62.5
2019-03-26,889,65.8
2019-03-27,774,66.7
2019-03-28,808,65.6
2019-03-29,795,62.3
2019-03-30,679,61.2
2019-03-31,684,62.9
2019-04-01,815,64.0
2019-04-02,819,69.8
2019-04-03,769,66.4
2019-04-04,786,67.6
2019-04-05,788,67.1
2019-04-06,652,67.1
2019-04-07,648,70.5
2019-04-08,840,74.7
2019-04-09,823,74.4
2019-04-10,784,61.9
2019-04-11,774,62.7
2019-04-12,731,59.4
2019-04-13,713,63.1
2019-04-14,626,68.6
2019-04-15,864,72.7
2019-04-16,797,60.1
2019-04-17,758,65.6
2019-04-18,776,72.1
2019-04-19,737,75.0
2019-04-20,674,76.3
2019-04-21,631,70.7
2019-04-22,813,70.0
2019-04-23,804,76.1
2019-04-24,851,79.0
2019-04-25,717,81.9
2019-04-26,786,83.8
2019-04-27,711,82.6
2019-04-28,716,81.9
2019-04-29,829,68.9
2019-04-30,777,66.4
2019-05-01,773,66.2
2019-05-02,819,69.4
2019-05-03,808,73.6
2019-05-04,700,76.9
2019-05-05,747,77.4
2019-05-06,875,73.2
2019-05-07,800,72.5
2019-05-08,819,74.7
2019-05-09,781,69.4
2019-05-10,753,64.4
2019-05-11,689,72.5
2019-05-12,649,76.3
2019-05-13,840,79.7
2019-05-14,847,81.8
2019-05-15,799,80.7
2019-05-16,789,69.9
2019-05-17,859,64.2
2019-05-18,740,69.3
2019-05-19,716,66.5
2019-05-20,868,63.3
2019-05-21,892,64.0
2019-05-22,755,58.3
2019-05-23,746,60.6
2019-05-24,788,68.3
2019-05-25,709,72.7
2019-05-26,731,69.0
2019-05-27,704,62.6
2019-05-28,831,69.8
2019-05-29,833,73.3
2019-05-30,791,77.4
2019-05-31,785,79.4
2019-06-01,688,81.2
2019-06-02,648,80.2
2019-06-03,848,82.3
2019-06-04,828,86.5
2019-06-05,801,90.4
2019-06-06,740,91.8
2019-06-07,728,88.1
2019-06-08,683,82.0
2019-06-09,674,81.3
2019-06-10,815,85.7
2019-06-11,765,89.5
2019-06-12,819,92.8
2019-06-13,791,93.5
2019-06-14,765,88.6
2019-06-15,723,90.3
2019-06-16,697,90.7
2019-06-17,836,86.7
2019-06-18,837,89.5
2019-06-19,814,92.2
2019-06-20,803,93.4
2019-06-21,796,86.7
2019-06-22,741,81.7
2019-06-23,678,82.7
2019-06-24,810,87.3
2019-06-25,783,89.7
2019-06-26,808,88.0
2019-06-27,798,88.4
2019-06-28,745,89.8
2019-06-29,671,89.7
2019-06-30,703,90.8
2019-07-01,836,91.4
